SMD,2024-11-05 (1).csv ballots,2024-11-05 (2).csv ballots,2024-11-05 (2).csv increase,2024-11-05 (2).csv pct increase,2024-11-07.csv ballots,2024-11-07.csv increase,2024-11-07.csv pct increase,2024-11-08.csv ballots,2024-11-08.csv increase,2024-11-08.csv pct increase,2024-11-09.csv ballots,2024-11-09.csv increase,2024-11-09.csv pct increase,2024-11-15.csv ballots,2024-11-15.csv increase,2024-11-15.csv pct increase,2024-11-18.csv ballots,2024-11-18.csv increase,2024-11-18.csv pct increase,residual-2022,residual-2024,expected remaining ballots
1A01,801,811,10,1.25%,848,37,4.56%,874,26,3.07%,902,28,3.20%,908,6,0.67%,908,0,0.00%,125,107,80.5
1A02,535,551,16,2.99%,690,139,25.23%,716,26,3.77%,724,8,1.12%,748,24,3.31%,769,21,2.81%,129,234,-40.5
1A03,569,580,11,1.93%,633,53,9.14%,655,22,3.48%,667,12,1.83%,674,7,1.05%,677,3,0.45%,66,108,-9.0
1A04,696,712,16,2.30%,847,135,18.96%,890,43,5.08%,902,12,1.35%,949,47,5.21%,962,13,1.37%,161,266,-24.5
1A05,506,519,13,2.57%,550,31,5.97%,581,31,5.64%,598,17,2.93%,610,12,2.01%,610,0,0.00%,84,104,22.0
1A06,716,734,18,2.51%,920,186,25.34%,966,46,5.00%,992,26,2.69%,1025,33,3.33%,1050,25,2.44%,157,334,-98.5
1A07,783,792,9,1.15%,835,43,5.43%,863,28,3.35%,887,24,2.78%,891,4,0.45%,893,2,0.22%,148,110,112.0
1A08,652,668,16,2.45%,697,29,4.34%,716,19,2.73%,736,20,2.79%,749,13,1.77%,750,1,0.13%,95,98,44.5
1A09,687,695,8,1.16%,731,36,5.18%,779,48,6.57%,800,21,2.70%,805,5,0.62%,806,1,0.12%,107,119,41.5
1A10,767,789,22,2.87%,871,82,10.39%,919,48,5.51%,933,14,1.52%,943,10,1.07%,944,1,0.11%,129,177,16.5
