SMD,2022-10-19 reg,2024-09-04 reg,2022-11-08 cast,2024-11-05 unofficial,2022-11-08 pct of whole,2022 turnout
1A01,1538,1125,595,801,0.02131938699058758,38.686605981794536
1A02,1667,1185,521,535,0.01866790020520358,31.25374925014997
1A03,1196,962,378,569,0.01354408114696152,31.605351170568564
1A04,1527,1348,641,696,0.022967608505826284,41.97773411918795
1A05,1172,1004,429,506,0.01537145717472617,36.604095563139936
1A06,1639,1394,682,716,0.024436675508539042,41.61073825503356
1A07,1493,1208,636,783,0.022788453993300338,42.598794373744134
1A08,1419,1121,452,652,0.016195567932345525,31.853417899929525
1A09,1540,1340,542,687,0.019420349157812555,35.1948051948052
1A10,1603,1421,641,767,0.022967608505826284,39.987523393636934
1B01,1933,1723,758,905,0.027159824098933423,39.21365752715985
1B02,1663,1468,723,899,0.025905742511251797,43.47564642212868
1B03,1785,1510,653,947,0.023397579335888555,36.582633053221286
1B04,2037,1954,1061,1432,0.03801658755800575,52.08640157093766
1B05,1571,1298,710,908,0.02543994077868434,45.19414385741566
1B06,1557,1182,557,837,0.01995781269539039,35.77392421323057
1B07,1530,1300,663,838,0.023755888360940447,43.333333333333336
1B08,1742,1414,734,974,0.026299882438808878,42.13547646383467
1B09,1676,1437,726,931,0.026013235218767364,43.31742243436754
1C01,1566,1209,725,923,0.02597740431626218,46.2962962962963
1C02,1608,1393,785,948,0.028127258466573532,48.818407960199
1C03,1681,1372,802,938,0.02873638380916175,47.70969660916121
1C04,1679,1456,838,991,0.03002629629934856,49.91066110780226
1C05,1576,1300,772,924,0.02766145673400607,48.984771573604064
1C06,1753,1316,770,912,0.02758979492899569,43.92470051340559
1C07,1430,1206,632,772,0.02264513038327958,44.19580419580419
1C08,1675,1337,806,1011,0.028879707419182502,48.11940298507463
1C09,1208,1088,545,815,0.01952784186532812,45.115894039735096
1D01,1619,1507,825,972,0.029560494566781097,50.9573810994441
1D02,1060,810,334,412,0.011967521436733197,31.50943396226415
1D03,1426,1181,721,814,0.025834080706241422,50.56100981767181
1D04,1059,872,437,519,0.015658104394767686,41.26534466477809
1D05,1501,1408,800,909,0.028664722004151367,53.297801465689545
1D06,1549,1301,673,789,0.02411419738599234,43.447385409941894
1D07,1236,1046,412,604,0.014762331832137956,33.33333333333333
1E01,1655,1454,703,826,0.025189124461148012,42.477341389728096
1E02,1434,1204,507,686,0.01816626757013093,35.35564853556485
1E03,1575,1374,673,837,0.02411419738599234,42.73015873015873
1E04,1690,1414,583,757,0.02088941616052531,34.49704142011834
1E05,892,633,256,531,0.009172711041328437,28.699551569506728
1E06,549,356,181,541,0.006485393353439247,32.96903460837887
1E07,612,334,162,469,0.005804606205840652,26.47058823529412
2A01,435,204,107,95,0.0038339065680552454,24.597701149425287
2A02,1193,1064,501,408,0.017951282155099793,41.994970662196145
2A03,1004,809,417,272,0.0149414863446639,41.53386454183267
2A04,1516,1140,633,650,0.02268096128578477,41.75461741424802
2A05,546,436,194,178,0.006951195086006706,35.53113553113553
2A06,1168,883,484,389,0.01734215681251158,41.43835616438356
2A07,362,166,76,68,0.00272314859039438,20.994475138121548
2A08,656,397,168,149,0.0060195916208717875,25.609756097560975
2A09,464,254,121,109,0.004335539203127895,26.07758620689655
2B01,1644,1454,709,844,0.025404109876179148,43.126520681265205
2B02,1361,1102,579,590,0.020746092550504552,42.54224834680382
2B03,1500,1216,756,907,0.02708816229392304,50.4
2B04,1499,1161,664,840,0.023791719263445636,44.29619746497665
2B05,1515,1220,689,798,0.024687491826075367,45.478547854785475
2B06,1122,984,479,412,0.01716300229998563,42.69162210338681
2B07,1371,1167,674,832,0.02415002828849753,49.161196207148066
2B08,1798,1450,834,1015,0.0298829726893278,46.38487208008899
2B09,1611,1443,802,909,0.02873638380916175,49.78274363749224
2C01,1579,898,400,371,0.014332361002075683,25.332488917036102
2C02,1059,817,416,477,0.014905655442158713,39.2823418319169
2C03,1196,889,559,395,0.020029474500400768,46.73913043478261
2C04,1009,811,407,334,0.014583177319612008,40.33696729435084
